Member_number,Date,itemDescription,Frequency,Frequency_per_date,Item_Sold
1808,2015-07-21,tropical fruit,10,3,3
2552,2015-01-05,whole milk,13,3,6
2300,2015-09-19,pip fruit,10,3,3
1187,2015-12-12,other vegetables,7,3,2
3037,2015-02-01,whole milk,5,3,9
4941,2015-02-14,rolls/buns,26,3,3
4501,2015-05-08,other vegetables,13,3,3
3803,2015-12-23,pot plants,19,3,1
2762,2015-03-20,whole milk,9,3,4
4119,2015-02-12,tropical fruit,9,3,3
1340,2015-02-24,citrus fruit,14,3,5
2193,2015-04-14,beef,27,5,3
1997,2015-07-21,frankfurter,21,5,3
4546,2015-09-03,chicken,11,5,3
4736,2015-07-21,butter,11,5,2
1959,2015-03-30,fruit/vegetable juice,19,5,3
1974,2015-05-03,packaged fruit/vegetables,5,5,1
2421,2015-09-02,chocolate,21,5,1
1513,2015-08-03,specialty bar,10,5,1
1905,2015-07-07,other vegetables,26,5,5
2810,2015-09-08,butter milk,17,5,1
2867,2015-11-12,whole milk,15,5,2
3962,2015-09-18,tropical fruit,14,5,2
1088,2015-11-30,tropical fruit,9,5,2
4976,2015-07-17,bottled water,7,5,1
4056,2015-06-12,yogurt,16,5,2
3611,2015-02-13,sausage,7,5,3
1420,2015-01-14,other vegetables,11,5,4
4286,2015-03-08,brown bread,13,5,2
4918,2015-01-27,yogurt,5,5,3
4783,2015-10-22,hamburger meat,21,5,1
3709,2015-10-26,root vegetables,21,5,3
4289,2015-10-08,pork,9,5,2
1559,2015-10-03,beef,7,5,3
2900,2015-04-11,pastry,12,5,2
1905,2015-02-21,fruit/vegetable juice,26,5,3
3527,2015-09-29,canned beer,12,5,4
1495,2015-01-09,root vegetables,9,5,1
3558,2015-04-03,citrus fruit,17,5,1
3128,2015-04-20,sausage,17,5,1
1863,2015-08-04,tropical fruit,14,5,1
3841,2015-07-19,berries,17,5,2
3903,2015-10-06,canned beer,19,5,2
2658,2015-10-16,butter milk,7,5,1
4272,2015-06-06,coffee,27,5,1
1120,2015-09-26,pastry,17,5,2
2676,2015-08-15,rolls/buns,14,5,3
1697,2015-05-21,misc. beverages,15,5,2
2507,2015-08-25,root vegetables,13,5,3
4620,2015-03-11,sausage,9,5,2
3365,2015-02-01,canned beer,15,5,4
2978,2015-06-05,ham,19,5,1
2910,2015-07-28,turkey,15,5,1
1061,2015-09-05,whole milk,14,5,2
3276,2015-04-03,whole milk,15,5,5
1326,2015-06-19,packaged fruit/vegetables,11,5,1
3023,2015-07-28,rolls/buns,9,5,3
2185,2015-10-11,ham,11,5,1
3552,2015-06-16,rolls/buns,13,5,3
1967,2015-01-20,other vegetables,15,5,2
4708,2015-03-20,sausage,14,5,7
2874,2015-02-15,sausage,16,5,5
4177,2015-04-13,frankfurter,10,5,1
1663,2015-02-07,rolls/buns,13,5,3
2632,2015-03-02,whole milk,24,5,8
1377,2015-03-14,curd cheese,11,5,1
4162,2015-12-22,red/blush wine,14,5,2
2270,2015-07-01,sausage,22,5,1
4829,2015-11-03,tropical fruit,5,5,3
3811,2015-04-14,red/blush wine,21,5,1
4766,2015-09-29,whole milk,17,5,5
2436,2015-04-12,frankfurter,11,5,4
3860,2015-05-05,whole milk,7,5,5
4875,2015-05-12,frozen potato products,29,5,1
1587,2015-07-01,other vegetables,13,5,6
4038,2015-07-08,citrus fruit,14,5,1
4750,2015-09-21,flour,11,5,1
1199,2015-12-10,sugar,13,5,2
1603,2015-09-30,frozen meals,15,5,2
3111,2015-01-31,chocolate,16,5,1
3894,2015-12-13,root vegetables,12,5,2
1456,2015-09-18,root vegetables,18,7,2
2022,2015-03-04,herbs,23,5,1
2505,2015-11-30,bottled water,11,4,2
4851,2015-12-20,sausage,14,4,6
4293,2015-08-04,coffee,22,4,1
2775,2015-11-06,pork,10,4,2
3693,2015-02-18,berries,8,4,3
1202,2015-07-22,soda,10,4,5
3699,2015-08-23,berries,9,4,1
4152,2015-04-15,fruit/vegetable juice,16,4,1
4155,2015-01-26,citrus fruit,17,4,4
4010,2015-12-29,pork,6,4,2
4389,2015-10-20,detergent,17,4,1
3746,2015-08-17,grapes,13,4,1
2560,2015-05-17,sausage,24,4,7
1503,2015-07-25,chicken,9,4,1
2555,2015-12-23,whole milk,16,4,7
3645,2015-12-12,citrus fruit,11,4,2
3886,2015-09-11,soda,10,4,4
2932,2015-03-20,sausage,17,4,7
1711,2015-06-18,frankfurter,19,4,4
4291,2015-12-08,sausage,16,4,3
1143,2015-04-25,soda,12,4,5
